Sales Year Month,311 Neighborhood,Analysis Neighborhood,Median Sale Price,Homes Sold,New Listings,Inventory,Days on Market,Average Sale To List Pct
201802,Excelsior,Excelsior,1060000.0,16,18.0,9.0,17.0,115.1
201802,Fairmount,Glen Park,1858000.0,6,13.0,5.0,15.0,109.9
201802,Financial District,Financial District/South Beach,735000.0,1,1.0,1.0,7.0,101.4
201802,Fisherman's Wharf,North Beach,2425000.0,1,3.0,2.0,11.0,115.5
201802,Forest Hill,West of Twin Peaks,2875000.0,2,2.0,2.0,15.0,113.9
201802,Forest Knolls,Inner Sunset,1225000.0,3,3.0,0.0,87.0,96.3
201802,Glen Park,Glen Park,1820000.0,14,22.0,11.0,13.0,116.4
201802,Golden Gate Heights,Inner Sunset,1780000.0,12,18.0,6.0,30.0,112.1
201802,Haight Ashbury,Haight Ashbury,1420000.0,3,4.0,0.0,44.0,101.7
201802,Hayes Valley,Hayes Valley,1173000.0,6,7.0,4.0,14.0,114.7
201802,Holly Park,Bernal Heights,1768000.0,6,8.0,3.0,14.0,112.2
201802,Hunters Point,Bayview Hunters Point,788000.0,22,18.0,11.0,30.0,98.7
201802,India Basin,Bayview Hunters Point,585000.0,1,1.0,0.0,18.0,97.7
201802,Ingleside,Oceanview/Merced/Ingleside,1129000.0,9,6.0,3.0,15.0,120.8
201802,Ingleside Terraces,West of Twin Peaks,2300000.0,2,4.0,1.0,21.0,110.6
201802,Inner Richmond,Inner Richmond,1879500.0,20,29.0,14.0,23.0,109.1
201802,Inner Sunset,Inner Sunset,1650000.0,7,13.0,6.0,13.0,119.8
201802,Japantown,Japantown,2724000.0,2,1.0,0.0,85.0,97.3
201802,Laguna Honda,West of Twin Peaks,1800000.0,3,3.0,1.0,15.0,109.2
201802,Lake Street,Seacliff,875000.0,3,6.0,3.0,30.0,108.9
201802,Lakeshore,Lakeshore,1164000.0,4,2.0,0.0,70.5,110.65
201802,Laurel Heights / Jordan Park,Presidio Heights,1610000.0,7,7.0,1.0,14.0,113.8
201802,Little Hollywood,Bayview Hunters Point,894000.0,4,3.0,1.0,21.0,104.3
201802,Lone Mountain,Lone Mountain/USF,2600000.0,1,1.0,2.0,18.0,136.8
201802,Lower Haight,Hayes Valley,1195000.0,11,7.0,6.0,40.0,104.9
201802,Lower Nob Hill,Nob Hill,805000.0,15,14.0,8.0,42.0,101.9
201802,Lower Pacific Heights,Japantown,1425000.0,23,24.0,9.0,42.0,102.4
201802,Marina,Marina,2587500.0,23,36.0,14.0,18.5,108.2
201802,Merced Manor,Sunset/Parkside,2106000.0,1,3.0,0.0,15.0,132.0
201802,Midtown Terrace,Twin Peaks,1365000.0,2,1.0,0.0,17.0,125.0
201802,Miraloma Park,West of Twin Peaks,1551000.0,8,9.0,2.0,13.0,124.1
201802,Mission,Mission,1070000.0,44,41.0,22.0,32.0,101.5
201802,Mission Bay,Mission Bay,1323000.0,36,49.0,25.0,27.0,106.4
201802,Mission Dolores,Mission,1356000.0,19,16.0,5.0,38.0,104.0
201802,Mission Terrace,Outer Mission,1155000.0,12,11.0,5.0,14.0,112.7
201802,Monterey Heights,West of Twin Peaks,2780000.0,2,2.0,1.0,13.0,127.8
201802,Mt. Davidson Manor,West of Twin Peaks,2050000.0,1,2.0,0.0,17.0,102.5
201802,Nob Hill,Nob Hill,1425000.0,22,7.0,9.0,98.0,99.7
201802,Noe Valley,Noe Valley,2120000.0,47,54.0,16.0,22.0,109.2
201802,North Beach,North Beach,1113000.0,8,9.0,5.0,40.0,106.8
201802,Northern Waterfront,Financial District/South Beach,2198000.0,5,3.0,4.0,83.0,95.7
201802,Oceanview,Oceanview/Merced/Ingleside,923000.0,10,9.0,6.0,31.0,118.6
201802,Outer Mission,Outer Mission,1060000.0,3,6.0,2.0,20.0,110.0
201802,Outer Richmond,Outer Richmond,1400000.0,25,33.0,18.0,27.0,108.9
201802,Outer Sunset,Sunset/Parkside,1385000.0,41,41.0,15.0,22.0,120.4
201802,Pacific Heights,Pacific Heights,1776000.0,41,43.0,26.0,27.0,101.9
201802,Panhandle,Lone Mountain/USF,1299000.0,8,10.0,3.0,55.0,105.3
201802,Parkside,Sunset/Parkside,1315000.0,9,12.0,3.0,16.0,121.1
201802,Parnassus Heights,Lone Mountain/USF,2350000.0,5,6.0,3.0,17.0,111.3
201802,Peralta Heights,Bernal Heights,1555000.0,2,7.0,6.0,57.0,96.5
201802,Polk Gulch,Russian Hill,1160000.0,6,5.0,3.0,62.0,110.1
201802,Portola,Portola,1168000.0,9,9.0,6.0,16.0,112.8
201802,Potrero Hill,Potrero Hill,1200000.0,29,19.0,8.0,36.0,107.6
201802,Presidio Heights,Presidio Heights,2395000.0,7,12.0,7.0,77.0,96.7
201802,Presidio Terrace,Inner Richmond,1375000.0,2,2.0,0.0,59.0,101.1
201802,Rincon Hill,Financial District/South Beach,1198000.0,70,108.0,85.0,73.0,99.2
